Parent Account ID,Account ID,OBH General Acct,Account Name,Program Name,Original Date of Licensure,SUD License Number,CS License Number,MH Designation,Phone,Fax,TDD/TTY,Billing Address Line 1,Billing City,County,Billing Zip/Postal Code,Billing State/Province,Hide Address,Provider Location Display Label,Website,Active SUD License,Active MH Designation,Opioid Treatment Programs,Residential Child Care Facility,Hospital,Community Mental Health Center,Community Mental Health Clinic,Psychiatric Residential,Substance Use Services,Mental Health Settings,Population Served,Accessibility,Fee(s),Languages Spoken,Hours of Operation Monday,Hours of Operation Tuesday,Hours of Operation Wednesday,Hours of Operation Thursday,Hours of Operation Friday,Hours of Operation Saturday,Hours of Operation Sunday,Outpatient - SU Services,Day Treatment (Partial Hospitalization),Intensive Outpatient - SU Services,Clinic Managed Low Intense Res Svcs,Clinic Managed Med Intense Res Svcs,Clinic Managed High Intense Res Svcs,Medically Monitored Intense Res Trtmt,Clinic Managed Residential Detox,Med Monitored Inpatient Detox,72-Hour Treatment & Evaluation,Acute Treatment Unit,Crisis Stabilization Unit,Day Treatment,Emergency,Intensive Outpatient,Outpatient,Residential Short Term Treatment,Residential Long Term Treatment,CIRCLE Program,MSO Affiliation,RAE,ASO,Alcohol & Drug Involuntary Commitment,General Treatment,DUI/DWI,Youth Treatment,Gender Responsive Ttmt for Women,Edu&Ttmt Svcs for Persons in CJS,Provider Directory Form Modified Date,lat,lon
0016100001HA07XAAT,0016100001HA3m4AAD,1st Choice Counseling LLC - General Account,1st Choice Counseling LLC - Colorado Ave.,1st Choice Counseling,2/12/2015,1769-01,,,(719) 209-3303,(719)358-9602,,"2616 W. Colorado Ave., suite 7",Colorado Springs,El Paso,80904,CO,0,"2616 W. Colorado Ave., suite 7_BR_ENCODED_Colorado Springs, CO 80904",,1,0,0,0,0,0,0,0,Outpatient; Intensive Outpatient; General Treatment; DUI/DWI,,,,Self Pay,English,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,6/1/2022 3:50 PM,38.8479009,-104.8632369
0016100001HA06sAAD,0016100001HA3hyAAD,1st Priority Institute for Better Living - General Account,1st Priority Institute for Better Living - 58th,1st Priority Institute for Better Living,6/6/2017,1840-00,,1840-01,(720) 773-0384,(253) 650-5691,,"420 E. 58th Ave, Suite 128a",Denver,Adams,80216,CO,0,"420 E. 58th Ave, Suite 128a_BR_ENCODED_Denver, CO 80216",www.1stpriorityinstituteforbetterliving.com,1,1,0,0,0,0,1,0,Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment,Outpatient; Day Treatment; Community Mental Health Clinic,Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian,Visually Impaired; Wheelchair,Medicaid; Private Insurance; Self Pay; Sliding Fee Scale,English,7:00AM - 8:00AM,7:00AM - 8:00PM,7:00AM - 8:00PM,7:00AM - 8:00PM,7:00PM - 8:00PM,7:00AM - 2:00PM,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,1,1,1,0,0,5/23/2022 6:05 PM,39.801326,-104.9820118
0014M00001hHzzLQAS,0014M00001k6mUrQAI,5280 Drug Testing - General Account,5280 Human Care Center - Quebec,5280 Human Care Center,10/31/2019,2191-00,,,(720) 476-4984 X123,(888) 620-9502,,6053 S. Quebec St. #101,Greenwood Village,Arapahoe,80111,CO,0,"6053 S. Quebec St. #101_BR_ENCODED_Greenwood Village, CO 80111",http://www.5280humancarecenter.com,1,0,0,0,0,0,0,0,Outpatient; DUI/DWI,,Men; Women; Clients referred from Court/Judicial System,,Self Pay,English,9:00AM - 7:00PM,9:00AM - 7:00PM,9:00AM - 7:00PM,9:00AM - 7:00PM,9:00AM - 7:00PM,9:00AM - 12:00PM,9:00AM - 12:00PM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,5/16/2022 6:43 PM,39.6065872,-104.9045354
0016100001HA01xAAD,0016100001HA42qAAD,"A & D Counseling, LLC - General Account","A & D Counseling, LLC - Aurora","A & D Counseling, LLC",7/29/2016,1818-01,,,(303) 353-9796,(720) 510-2136,,11275 E Mississippi Ave Unit 1E8,Aurora,Arapahoe,80111,CO,0,"11275 E Mississippi Ave Unit 1E8_BR_ENCODED_Aurora, CO 80111",adcounseling.net,1,0,0,0,0,0,0,0,Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment,,HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian,,Self Pay; Sliding Fee Scale,English; Spanish,,11:00AM - 3:00PM,11:00AM - 6:00PM,11:00AM - 7:00PM,,9:00AM - 1:00PM,1:00PM - 4:00PM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,0,1,6/17/2022 12:00 PM,39.697193,-104.8570877
0016100001HA01xAAD,0016100001HA3yCAAT,"A & D Counseling, LLC - General Account",A & D Counseling LLC - Westminster,A & D Counseling LLC,7/29/2016,1818-00,,,(720) 485-5039,(720) 350-4525,,8300 Alcott St 102,Westminster,Adams,80031,CO,0,"8300 Alcott St 102_BR_ENCODED_Westminster, CO 80031",adcounseling.net,1,0,0,0,0,0,0,0,Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment,,Men; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian,Wheelchair,Self Pay; Sliding Fee Scale,English; Spanish,11:00AM - 5:00PM,11:00AM - 6:00PM,12:00PM - 6:00PM,11:00AM - 7:00PM,,8:00AM - 1:00PM,8:00AM - 1:00PM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,0,1,6/17/2022 12:00 PM,39.8480679,-105.01643
0016100001HA03IAAT,0016100001HA3r9AAD,"Acacia Counseling, Inc. - General Account","Acacia Counseling, Inc. - 9th Ave.","Acacia Counseling, Inc",4/13/1995,1315-00,,,(303) 861-9378,(303) 839-8306,,190 E. 9th Ave Suite 150,Denver,Denver,80203,CO,0,"190 E. 9th Ave Suite 150_BR_ENCODED_Denver, CO 80203",,1,0,0,0,0,0,0,0,Outpatient; Intensive Outpatient; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System,,HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Offender; Clients referred from Court/Judicial System; American Indian,Wheelchair,Self Pay; Sliding Fee Scale,English; Spanish; Vietnamese,10:00AM - 6:30PM,10:00AM - 6:30PM,10:00AM - 6:30PM,10:00AM - 6:30PM,,8:00AM - 12:00PM,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,6/7/2022 11:53 AM,39.7302506,-104.9851849
0016100001HA03IAAT,0016100001HA3llAAD,"Acacia Counseling, Inc. - General Account",Acacia Counseling Inc - Huron,,4/13/1995,1315-02,,,(303) 438-9730,(303) 438-9724,,"11150 N. Huron St., #207",Northglenn,Adams,80234,CO,0,"11150 N. Huron St., #207_BR_ENCODED_Northglenn, CO 80234",,1,0,0,0,0,0,0,0,Outpatient; Intensive Outpatient; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System,,Homeless; LGBT; Men; Older Adults; Women; Offender; Clients referred from Court/Judicial System; American Indian,Wheelchair,Self Pay; Sliding Fee Scale,English,2:00PM - 7:00PM,2:00PM - 7:00PM,2:00PM - 7:00PM,2:00PM - 7:00PM,,8:00AM - 1:00PM,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,6/7/2022 12:07 PM,39.8985079,-104.9961735
0016100001HA00lAAD,0016100001HA439AAD,Adaptive Interventions - General Account,Adaptive Interventions - Heritage Hills,Adaptive Interventions,12/18/2015,1801-00,,,(720) 298-8702,,,9350 Heritage Hills Circle,Lone Tree,Douglas,80124,CO,0,"9350 Heritage Hills Circle_BR_ENCODED_Lone Tree, CO 80124",,1,0,0,0,0,0,0,0,Outpatient; Intensive Outpatient; DUI/DWI,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,6/21/2022 12:00 PM,39.536995,-104.8808085
0016100001VHLgdAAH,0016100001VIw1YAAT,Addiction Counseling Services of Colorado - General Account,Addiction Counseling Services of Colorado - Parker Rd.,Addiction Counseling Services of Colorado,10/16/2018,2111-01,,,(303) 564-1868,(303) 393-8637,,"1582 Parker Rd., #300",Denver,Denver,80231,CO,1,Please contact this provider directly for location,www.addictioncounselingservices.com,1,0,0,0,0,0,0,0,Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System,,HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Offender; Clients referred from Court/Judicial System,,Self Pay; Sliding Fee Scale,English,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,9:30AM - 5:00PM,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,0,1,5/25/2022 4:37 PM,,
0016100001HA063AAD,0016100001HA3ucAAD,University of Colorado Denver Addiction Research & Treatment Services (ARTS) - General Account,Addiction Research & Treatment Services (ARTS) - Parkside Clinic,Parkside Clinic,2/13/1980,1094-05,153,,(303) 388-5894,(303) 388-2808,,1620 Gaylord St,Denver,Denver,80206,CO,0,"1620 Gaylord St_BR_ENCODED_Denver, CO 80206",www.artstreatment.com,1,0,1,0,0,0,0,0,Opioid Treatment Programs; Outpatient; Intensive Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System,,HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Offender; Clients referred from Court/Judicial System; American Indian,,Medicaid; Self Pay; Sliding Fee Scale,English,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00AM - 2:00PM,6:00AM - 12:00PM,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SG,,,ASAM Level 1; ASAM Level 2.1,1,0,0,0,1,5/31/2022 5:17 PM,39.7421021,-104.9606525
