X,Y,OBJECTID,Account_Name,Address,City,State,Zip,Phone,Substance_Use_Services,Mental_Health_Settings,Additional_Services,Languages_Spoken,Population_Served,Accessibility,Fees,Hours_Monday,Hours_Tuesday,Hours_Wednesday,Hours_Thursday,Hours_Friday,Hours_Saturday,Hours_Sunday,LATITUDE,LONGITUDE,COUNTY_GEOCODE,DATE_GEOCODED,DATA_SOURCE,DATASET_NAME
-105.054474,38.995277,682,Aspen Counseling and Education Center,118 Center Street,Woodland Park,CO,80863,(719) 238-2908,"Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women",,,,,,,,,,,,,,38.995277,-105.054474,TELLER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.036522,39.6395720000001,683,Addiction Research & Treatment Services (ARTS) - PEER I/Haven OTC,"3804-3808 W. Princeton Circle, Basement",Denver,CO,80236,(303) 333-4280,"Outpatient; Education & Treatment Services for Persons in Criminal Justice System",,,,,,,,,,,,,,39.639572,-105.036522,DENVER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.864441,38.8483620000001,684,1st Choice Counseling LLC - Colorado Ave.,"2616 W. Colorado Ave., suite 7",Colorado Springs,Colorado,80904,(719) 209-3303,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI",,,,,,,,,,,,,,38.848362,-104.864441,EL PASO,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.981323,39.8018300000001,685,1st Priority Institute for Better Living - 58th,"420 E. 58th Ave, Suite 128a",Denver,CO,80216,(720) 733-0384 or 720-708-8396,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment",,"Assessment and Referral; Co-occurring; Family Treatment; Trauma Specific; Recovery Services; Gambling Counselors; Prevention Services; Peer Services; BiCultural",English,"Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","Visually Impaired; Wheelchair",Sliding Fee Scale,7:00AM - 8:00AM,7:00AM - 8:00PM,7:00AM - 8:00PM,7:00AM - 8:00PM,7:00PM - 8:00PM,7:00AM - 2:00PM,,39.80183,-104.981323,ADAMS,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.904205,39.6066510000001,686,5280 Human Care Center,6059 S. Quebec St. #100,Greenwood Village,CO,80111,(720) 476-4970,"Outpatient; DUI/DWI",,"Assessment and Referral; Co-occurring; Monitored Sobriety; Drug or Alcohol Breath and Urine Screening; Prevention Services",English,"Men; Women; Clients referred from Court/Judicial System",,Self Pay,9:00AM - 7:00PM,9:00AM - 7:00PM,9:00AM - 7:00PM,9:00AM - 7:00PM,9:00AM - 7:00PM,9:00AM - 12:00PM,9:00AM - 12:00PM,39.606651,-104.904205,ARAPAHOE,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.85701,39.6966970000001,687,"A & D Counseling, LLC - Aurora",11275 E Mississippi Ave Unit 1E8,Aurora,CO,80111,(303) 353-9796,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment",,Drug or Alcohol Breath and Urine Screening,"English; Spanish","HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian",,"Self Pay; Sliding Fee Scale",,11:00AM - 3:00PM,11:00AM - 6:00PM,11:00AM - 7:00PM,,9:00AM - 1:00PM,9:00AM - 1:00PM,39.696697,-104.85701,ARAPAHOE,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.036552,39.8272290000001,688,A & D Counseling LLC - 72nd Ave.,3750 W 72nd Ave,Westminster,Colorado,80030,(720) 485-5039,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment",,"Assessment and Referral; Monitored Sobriety; Drug or Alcohol Breath and Urine Screening; Prevention Services; Peer Services","English; Spanish","Men; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian",Wheelchair,"Self Pay; Sliding Fee Scale",11:00AM - 5:00PM,11:00AM - 6:00PM,12:00PM - 6:00PM,11:00AM - 7:00PM,,8:00AM - 1:00PM,8:00AM - 1:00PM,39.827229,-105.036552,ADAMS,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.985054,39.730385,689,Acacia Counseling Inc - 9th,"190 E. 9th Ave, Unit 150",Denver,CO,80203,(303) 861-9378,"Outpatient; Intensive Outpatient; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,,,,,,,,,,,,,39.730385,-104.985054,DENVER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.996567,39.898621,690,Acacia Counseling Inc - Huron,"11150 N. Huron St., #207",Northglenn,CO,80234,(303) 438-9730,"Outpatient; Intensive Outpatient; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,,,,,,,,,,,,,39.898621,-104.996567,ADAMS,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.815285,39.65321,691,Action! Substance Abuse Recovery Program - Hampden Ave.,"14901 E Hampden Avenue, Suite 270",Aurora,Colorado,80014,(303) 693-5080,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,"Assessment and Referral; Trauma Specific",English,"Men; Women; Clients referred from Court/Judicial System",Wheelchair,"Self Pay; Sliding Fee Scale",8:30AM - 6:00PM,8:30AM - 6:00PM,8:30AM - 8:00PM,8:30AM - 7:30PM,8:30AM - 6:00PM,8:30AM - 5:00PM,,39.65321,-104.815285,ARAPAHOE,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.015274,39.83147,692,Action! Substance Abuse Recovery Program - Samuel,7290 Samuel Dr. Ste 130,Denver,CO,80221,(303) 693-5080,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,Assessment and Referral,English,Clients referred from Court/Judicial System,,"Self Pay; Sliding Fee Scale",8:30AM - 8:00PM,8:30AM - 8:00PM,,8:30AM - 5:00PM,8:30AM - 5:00PM,,,39.83147,-105.015274,ADAMS,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.880707,39.5374830000001,693,Adaptive Interventions - Heritage Hills,9350 Heritage Hills Circle,Lone Tree,CO,80124,(720) 298-8702,"Outpatient; Intensive Outpatient; DUI/DWI",,,,,,,,,,,,,,39.537483,-104.880707,DOUGLAS,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.886131,39.6149790000001,694,Adaptive Interventions - Yosemite,"5655 S. Yosemite St, STE 109",Greenwood Village,CO,80134,(720) 298-8702,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,"Assessment and Referral; Co-occurring; Family Treatment; Trauma Specific; Recovery Services; Prevention Services",English,"HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","Private Insurance; Self Pay; Sliding Fee Scale",9:00AM - 6:00PM,9:00AM - 6:00PM,9:00AM - 6:00PM,9:00AM - 6:00PM,9:00AM - 6:00PM,,,39.614979,-104.886131,ARAPAHOE,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.887047,39.687496,695,Addiction Counseling Services of Colorado-Parker,"1582 Parker Rd., #300D",Denver,CO,80231,(303) 564-1868,"Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,Drug or Alcohol Breath and Urine Screening,English,Clients referred from Court/Judicial System,,Self Pay,8:00AM - 7:00PM,8:00AM - 7:00PM,8:00AM - 7:00PM,8:00AM - 7:00PM,8:30AM - 7:00PM,9:30AM - 5:00PM,,39.687496,-104.887047,ARAPAHOE,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.953194,39.7402380000001,696,Addiction Research & Treatment Services (ARTS) - Innovative Recovery Clinic,2925 E. Colfax Ave,Denver,CO,80206,(303) 388-8191,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Gender Responsive Treatment for Women",,,,,,,,,,,,,,39.740238,-104.953194,DENVER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.960922,39.7419820000001,697,Addiction Research & Treatment Services (ARTS) - Parkside Clinic,1620 Gaylord St,Denver,CO,80206,(303) 388-5894,"Opioid Treatment Programs; Outpatient; Intensive Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System",,,,,,,,,,,,,,39.741982,-104.960922,DENVER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.037315,39.6394540000001,698,Addiction Research & Treatment Services (ARTS) - Peer I 3762 Princeton,3762 W Princeton Circle,Denver,CO,80236,(303) 761-2885,"Outpatient; Education & Treatment Services for Persons in Criminal Justice System",,,,,,,,,,,,,,39.639454,-105.037315,DENVER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
