zip,avg_miles_from_center,median_miles_from_center,count_locations
80045,3.9,3.9,4434
80218,5.4,5.5,2756
80204,7.0,6.8,2488
80909,2.3,2.5,2052
80113,1.5,1.5,1955
80538,2.9,3.7,1748
80220,3.8,3.9,1686
80033,0.6,0.3,1619
80124,8.2,8.5,1561
81501,1.1,1.0,1504
80524,2.2,1.5,1469
81003,1.1,0.9,1443
80228,14.4,14.1,1442
80920,6.9,7.2,1371
80012,1.3,1.2,1359
80112,7.8,7.7,1341
80210,7.9,8.3,1328
80026,1.3,1.4,1314
80111,5.7,5.4,1292
80631,2.4,1.7,1211
80907,3.9,3.4,1202
80205,5.4,5.4,1136
80525,2.0,1.6,1076
80923,5.7,5.9,1040
80122,2.2,1.6,1029
80501,1.6,1.2,965
81301,3.1,3.8,923
80027,1.2,0.9,891
80138,3.1,3.4,890
80401,2.2,2.5,858
80014,2.8,3.1,840
80206,4.6,4.6,837
80229,9.3,9.4,792
80120,1.4,1.3,786
80634,1.7,1.5,758
80304,2.1,1.8,749
80918,4.0,4.1,736
80203,6.4,6.3,685
80301,1.9,1.2,685
80303,1.5,0.9,670
80906,5.8,5.4,660
80134,3.4,3.5,657
80528,3.6,2.5,654
80222,6.6,6.4,640
80129,1.1,0.9,630
81004,2.2,2.5,626
80211,8.1,8.0,616
80230,2.9,2.9,603
80023,1.7,1.5,590
80910,2.7,2.7,554
80020,1.8,1.8,533
80246,5.2,5.2,529
81401,1.1,0.8,526
80601,2.0,1.5,518
80011,3.0,2.9,514
81506,1.6,1.2,503
80526,2.2,1.9,488
80021,4.1,4.2,487
80015,5.2,5.1,486
80016,8.2,8.1,470
80226,11.9,12.1,447
80123,4.0,4.4,439
81505,3.2,3.7,435
81212,2.2,1.4,428
80504,3.8,2.3,426
80234,12.6,12.8,423
81101,1.8,1.1,421
80031,2.0,2.1,420
80903,3.6,3.5,420
80109,3.0,3.2,418
80209,6.1,6.2,405
80487,0.9,0.5,400
80302,2.2,1.7,392
80919,6.6,6.5,389
80231,6.3,6.2,384
80042,3.5,3.5,373
80127,2.3,2.4,373
80913,9.8,9.9,373
80537,2.4,1.9,369
80104,2.2,1.0,366
80238,1.5,1.6,365
81001,2.5,2.7,359
81601,1.7,0.7,339
80247,1.2,1.4,338
81201,4.0,1.0,323
80224,5.7,6.0,317
80013,3.2,3.2,316
81008,3.2,3.4,315
80260,9.8,9.6,310
80003,2.3,2.6,307
80237,8.6,8.6,305
80503,3.6,2.8,304
80202,6.8,6.8,299
80126,4.3,4.5,297
80921,11.7,11.9,296
80439,3.1,2.5,289
80132,3.3,1.9,285
80215,12.9,12.8,280
80236,12.0,11.9,279
80214,10.8,10.8,272
81416,1.2,1.3,272
80207,2.8,3.0,270
80002,2.3,2.5,267
81321,2.4,0.9,265
80130,1.3,1.4,263
80233,11.3,11.5,260
80550,2.3,1.4,260
80751,8.3,1.7,255
80917,2.1,1.4,255
80904,5.6,5.5,254
80022,4.1,4.2,253
80212,9.4,9.2,249
80227,13.2,13.2,243
80219,9.7,9.5,234
80516,3.4,1.7,232
80521,3.3,3.1,231
81007,8.1,7.8,231
80241,12.5,12.5,229
81611,1.1,1.1,222
80108,5.6,5.8,218
81005,3.5,3.3,217
80010,4.6,4.8,215
80110,1.0,0.9,213
80534,4.7,6.2,212
80403,5.8,5.4,207
81650,1.6,0.6,207
80005,2.1,1.9,205
80128,3.9,3.8,205
80602,2.3,2.3,201
80121,3.2,3.0,196
81521,4.2,1.3,194
80305,2.7,2.6,189
80831,7.9,8.1,184
80004,1.6,1.4,183
81050,0.9,0.8,183
80239,1.9,1.7,182
80863,1.6,1.4,178
81504,4.3,2.8,177
80922,3.7,3.8,176
80905,5.2,5.1,171
80701,8.5,0.8,170
80517,2.1,2.0,169
81657,3.8,0.5,167
81625,1.3,1.6,166
80443,3.7,0.8,165
81147,24.2,2.8,165
81623,4.3,1.4,157
