id,miles_to_zip_center,address,zip,lat,lng,latlong_source,zip_center_lat,zip_center_long,geocoded_outside_co
0016100001HA3uQAAT,14.9,"421 Zang street_BR_ENCODED_Lakewood, CO 80228",80228,39.72197,-105.145767,ladders_open_data_20220610,39.76,-104.87,False
0016100001HA4QfAAL,14.3,"12055 West 2nd Place_BR_ENCODED_Lakewood, CO 80228",80228,39.718678,-105.134613,ladders_open_data_20220610,39.76,-104.87,False
0016100001HA3n8AAD,13.7,"11500 Security Avenue_BR_ENCODED_Lakewood, CO 80215",80215,39.737282,-105.126984,ladders_open_data_20220610,39.76,-104.87,False
0016100001HA4QCAA1,13.4,"3595 South Teller St._BR_ENCODED_Lakewood, CO 80235",80235,39.648022,-105.07682,ladders_open_data_20220610,39.76,-104.87,False
0016100001HA43HAAT,13.3,"3225 S Wadsworth Blvd #T, Unit T_BR_ENCODED_Lakewood, CO 80227",80227,39.657791,-105.081596,ladders_open_data_20220610,39.76,-104.87,False
0016100001HA3o2AAD,13.1,"12213 Pecos St. Suite 500_BR_ENCODED_Westminster, CO 80234",80234,39.918221,-105.004738,ladders_open_data_20220610,39.76,-104.87,False
0016100001ZdUD9AAN,13.0,"2300 S Balsam Ln_BR_ENCODED_Lakewood, CO 80227",80227,39.674751,-105.087456,ladders_open_data_20220610,39.76,-104.87,False
0016100001HA3jgAAD,12.8,"2525 S Wadsworth Blvd Suite 106_BR_ENCODED_Lakewood, CO 80227",80227,39.672241,-105.08149,ladders_open_data_20220610,39.76,-104.87,False
0016100001HA4QgAAL,12.5,"9485 W Colfax Avenue_BR_ENCODED_Lakewood, CO 80215",80215,39.740318,-105.103516,ladders_open_data_20220610,39.76,-104.87,False
0016100001HA3e8AAD,12.3,"3702 3712 W Princeton Circle_BR_ENCODED_Denver, CO 80236",80236,39.639316,-105.038899,ladders_open_data_20220610,39.76,-104.87,False
