zip,zip_center_lat,zip_center_lng,avg_miles_from_center,median_miles_from_center,count_locations
81501,39.08,-108.55,1.2,1.3,11
80033,39.77,-105.09,1.1,1.3,7
80112,39.64,-104.99,7.6,6.7,7
80524,40.55,-105.06,2.5,2.1,7
80022,39.86,-104.86,5.2,5.6,6
80120,39.59,-105.01,1.6,1.7,6
80205,39.76,-104.87,6.0,6.2,6
80206,39.76,-104.87,4.5,5.0,6
80501,40.17,-105.11,0.9,0.8,6
80525,40.55,-105.06,1.4,1.6,6
81623,39.39,-107.21,1.7,0.8,6
80003,39.82,-105.1,2.5,1.7,5
80204,39.76,-104.87,7.9,8.3,5
81001,38.27,-104.62,2.3,2.2,5
81416,38.74,-108.07,0.9,0.4,5
80215,39.76,-104.87,12.6,12.3,4
80219,39.76,-104.87,9.4,9.3,4
80236,39.76,-104.87,12.2,12.2,4
80631,40.42,-104.74,2.7,2.7,4
80918,38.86,-104.76,4.1,4.1,4
81101,37.46,-105.87,0.9,0.8,4
80010,39.69,-104.81,5.0,5.1,3
80021,39.94,-105.06,3.5,3.1,3
80030,39.88,-105.05,3.2,3.4,3
80045,39.69,-104.81,4.1,4.2,3
80110,39.64,-104.99,1.3,1.1,3
80128,39.59,-105.01,5.3,4.7,3
80134,39.5,-104.76,2.0,2.0,3
80203,39.76,-104.87,6.3,6.4,3
80216,39.76,-104.87,5.1,6.3,3
80222,39.76,-104.87,6.8,6.9,3
80223,39.76,-104.87,7.0,7.0,3
80227,39.76,-104.87,13.0,13.0,3
80229,39.76,-104.87,8.9,9.1,3
80231,39.76,-104.87,6.6,7.3,3
80302,40.02,-105.25,1.6,1.4,3
80303,40.02,-105.25,0.8,0.9,3
80304,40.02,-105.25,1.6,1.8,3
80401,39.73,-105.21,1.2,0.9,3
80439,39.63,-105.34,4.2,3.2,3
80526,40.55,-105.06,1.9,1.9,3
80601,39.95,-104.79,2.8,3.0,3
80634,40.42,-104.74,0.8,0.9,3
80751,40.62,-103.19,1.3,1.3,3
80909,38.86,-104.76,2.5,2.4,3
81050,37.98,-103.54,0.8,0.8,3
81301,37.27,-107.88,0.6,0.5,3
81401,38.49,-107.87,0.9,0.8,3
81601,39.54,-107.33,1.3,0.6,3
81611,39.19,-106.82,1.0,0.9,3
80011,39.69,-104.81,2.2,2.2,2
80014,39.69,-104.81,3.2,3.2,2
80026,39.99,-105.09,0.3,0.3,2
80027,39.96,-105.14,1.5,1.5,2
80111,39.64,-104.99,5.8,5.8,2
80138,39.5,-104.76,1.7,1.7,2
80210,39.76,-104.87,7.5,7.5,2
80220,39.76,-104.87,3.7,3.7,2
80221,39.76,-104.87,9.4,9.4,2
80228,39.76,-104.87,14.6,14.6,2
80234,39.76,-104.87,12.4,12.4,2
80239,39.76,-104.87,2.8,2.8,2
80260,39.76,-104.87,9.6,9.6,2
80517,40.37,-105.52,1.4,1.4,2
80537,40.41,-105.07,1.1,1.1,2
80538,40.41,-105.07,1.2,1.2,2
80701,40.26,-103.79,0.9,0.9,2
80758,40.07,-102.22,1.1,1.1,2
80807,39.3,-102.27,0.6,0.6,2
80810,38.81,-102.35,0.8,0.8,2
80904,38.86,-104.76,5.4,5.4,2
81003,38.27,-104.62,1.1,1.1,2
81052,38.08,-102.61,0.8,0.8,2
81212,38.44,-105.23,1.8,1.8,2
81224,38.87,-106.98,0.1,0.1,2
81230,38.54,-106.92,0.7,0.7,2
81321,37.35,-108.57,0.6,0.6,2
81625,40.52,-107.55,0.5,0.5,2
81632,39.65,-106.6,1.2,1.2,2
81657,39.64,-106.39,0.5,0.5,2
80012,39.69,-104.81,3.2,3.2,1
80031,39.88,-105.05,2.7,2.7,1
80040,39.69,-104.81,4.2,4.2,1
80104,39.37,-104.85,0.8,0.8,1
80107,39.36,-104.6,0.4,0.4,1
80108,39.37,-104.85,2.6,2.6,1
80113,39.64,-104.96,1.5,1.5,1
80121,39.59,-105.01,1.8,1.8,1
80124,39.59,-105.01,7.8,7.8,1
80130,39.54,-104.93,1.9,1.9,1
80201,39.76,-104.87,6.2,6.2,1
80202,39.76,-104.87,6.8,6.8,1
80208,39.76,-104.87,7.8,7.8,1
80211,39.76,-104.87,7.0,7.0,1
80214,39.76,-104.87,10.5,10.5,1
80218,39.76,-104.87,5.5,5.5,1
80226,39.76,-104.87,10.7,10.7,1
80230,39.76,-104.87,2.5,2.5,1
80233,39.76,-104.87,11.5,11.5,1
80235,39.76,-104.87,13.4,13.4,1
80243,39.76,-104.87,11.2,11.2,1
80246,39.76,-104.87,5.4,5.4,1
80305,40.02,-105.25,2.3,2.3,1
80422,39.8,-105.49,2.6,2.6,1
80424,39.5,-106.04,0.7,0.7,1
80433,39.52,-105.3,0.5,0.5,1
80444,39.71,-105.69,0.5,0.5,1
80446,40.08,-105.93,0.6,0.6,1
80452,39.74,-105.51,7.1,7.1,1
80461,39.24,-106.29,0.6,0.6,1
80477,40.47,-106.82,1.7,1.7,1
80481,40.07,-105.51,4.9,4.9,1
80487,40.47,-106.82,1.4,1.4,1
80504,40.17,-105.11,3.7,3.7,1
80514,40.07,-104.94,1.0,1.0,1
80530,40.1,-104.94,0.2,0.2,1
80549,40.7,-105,1.0,1.0,1
80640,39.92,-104.87,6.2,6.2,1
80720,40.16,-103.21,0.5,0.5,1
80734,40.58,-102.3,0.4,0.4,1
80737,40.98,-102.26,0.6,0.6,1
80759,40.12,-102.72,0.4,0.4,1
80809,38.9,-104.97,0.7,0.7,1
80817,38.66,-104.69,1.7,1.7,1
80828,39.26,-103.68,0.3,0.3,1
80863,38.99,-105.05,0.5,0.5,1
80905,38.86,-104.76,4.2,4.2,1
80906,38.86,-104.76,5.2,5.2,1
80910,38.86,-104.76,2.5,2.5,1
80923,38.86,-104.76,5.9,5.9,1
81004,38.27,-104.62,0.7,0.7,1
81005,38.27,-104.62,3.2,3.2,1
81054,38.06,-103.22,0.5,0.5,1
81063,38.22,-103.75,6.0,6.0,1
81067,38.04,-103.72,1.0,1.0,1
81073,37.4,-102.61,0.5,0.5,1
81082,37.16,-104.5,0.8,0.8,1
81089,37.62,-104.77,0.4,0.4,1
81120,37.07,-106.01,0.7,0.7,1
81125,37.75,-106.11,0.3,0.3,1
81144,37.57,-106.14,0.9,0.9,1
81151,37.25,-105.9,3.7,3.7,1
81152,37.2,-105.42,0.2,0.2,1
81201,38.53,-106,0.4,0.4,1
81423,38.13,-108.29,0.3,0.3,1
81425,38.6,-107.98,1.6,1.6,1
81428,38.86,-107.59,3.0,3.0,1
81432,38.15,-107.75,0.1,0.1,1
81435,37.94,-107.9,5.0,5.0,1
81503,39.08,-108.55,2.4,2.4,1
81504,39.08,-108.55,2.9,2.9,1
81520,39.07,-108.46,1.6,1.6,1
81521,39.15,-108.72,0.8,0.8,1
81602,39.54,-107.33,0.2,0.2,1
81620,39.65,-106.53,0.9,0.9,1
81631,39.65,-106.82,0.5,0.5,1
81641,40.05,-107.89,1.5,1.5,1
81650,39.53,-107.77,0.7,0.7,1
