zip,zip_center_lat,zip_center_lng,results_within_1_mi,results_within_5_mi,results_within_10_mi,results_within_15_mi,results_within_20_mi,results_within_25_mi,results_within_50_mi
80020,39.94,-105.06,0,10,27,85,134,161,214
80021,39.94,-105.06,0,10,27,85,134,161,214
80023,39.96,-105.02,0,6,26,70,126,155,214
80026,39.99,-105.09,2,5,18,57,110,145,214
80038,39.94,-105.06,0,10,27,85,134,161,214
80301,40.02,-105.25,2,10,14,26,55,107,214
80302,40.02,-105.25,2,10,14,26,55,107,214
80303,40.02,-105.25,2,10,14,26,55,107,214
80304,40.02,-105.25,2,10,14,26,55,107,214
80305,40.02,-105.25,2,10,14,26,55,107,214
80306,40.02,-105.25,2,10,14,26,55,107,214
80307,40.02,-105.25,2,10,14,26,55,107,214
80308,40.02,-105.25,2,10,14,26,55,107,214
80309,40.02,-105.25,2,10,14,26,55,107,214
80310,40.02,-105.25,2,10,14,26,55,107,214
80314,40.02,-105.25,2,10,14,26,55,107,214
80321,40.02,-105.25,2,10,14,26,55,107,214
80322,40.02,-105.25,2,10,14,26,55,107,214
80323,40.02,-105.25,2,10,14,26,55,107,214
80328,40.02,-105.25,2,10,14,26,55,107,214
80329,40.02,-105.25,2,10,14,26,55,107,214
80516,40.02,-105.04,0,2,18,51,91,133,214
80025,39.93,-105.27,0,1,14,39,86,134,213
80027,39.96,-105.14,0,6,24,57,112,154,213
80028,39.95,-105.14,1,6,31,62,115,157,213
80030,39.88,-105.05,0,20,55,112,149,170,213
80031,39.88,-105.05,0,20,55,112,149,170,213
80035,39.88,-105.05,0,20,55,112,149,170,213
80036,39.88,-105.05,0,20,55,112,149,170,213
80514,40.07,-104.94,1,2,8,26,57,113,213
80544,40.09,-105.15,0,1,20,28,48,89,213
80602,39.95,-104.9,0,2,19,67,124,156,213
80614,39.92,-104.96,0,8,36,94,146,166,213
80640,39.92,-104.87,0,0,24,76,119,164,213
80501,40.17,-105.11,4,7,7,22,35,54,212
80502,40.17,-105.11,4,7,7,22,35,54,212
80503,40.17,-105.11,4,7,7,22,35,54,212
80504,40.17,-105.11,4,7,7,22,35,54,212
80520,40.12,-104.93,0,2,8,16,40,76,212
80530,40.1,-104.94,1,2,7,19,49,94,212
80601,39.95,-104.79,0,3,3,35,90,137,212
80603,39.97,-104.74,0,3,3,16,64,120,211
80621,40.08,-104.8,0,0,5,6,32,84,211
80642,40.07,-104.64,0,0,0,3,5,36,211
80533,40.18,-105.17,0,6,7,23,30,50,209
80455,40.11,-105.39,0,1,7,12,26,32,207
80651,40.21,-104.82,0,0,0,6,22,31,207
80471,39.93,-105.43,0,0,2,13,29,67,206
80540,40.22,-105.26,0,0,6,17,30,36,205
80542,40.23,-104.98,0,0,8,13,26,59,205
80481,40.07,-105.51,0,1,1,7,12,28,204
80643,40.1,-104.51,0,0,0,0,3,9,204
80022,39.86,-104.86,0,3,49,105,143,168,203
80037,39.86,-104.86,0,3,49,105,143,168,203
80466,39.96,-105.5,0,0,1,11,15,36,203
80001,39.82,-105.1,0,17,77,120,157,172,199
